,Comment,Sentiment Label,Sentiment Score,Offensive_Flag,Expanded_Offensive_Flag,Offensive_Category,Offensive_Word_Count,Adjusted_Offensive_Category,Refined_Offensive_Category,Weighted_Offensive_Category,Refined_Weighted_Category,Final_Weighted_Category,Sarcasm_Flag,Final_Refined_Category_With_Sarcasm,Gemma_Response,Final_Output
0,Logan Paul it's yo big day ‼️‼️‼️,POSITIVE,0.9965435862541199,False,False,Non-Offensive,0,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,False,Non-Offensive,"The user said: 'Logan Paul it's yo big day ‼️‼️‼️'. Generate a friendly response.

Here are some options:

A.  ""Hey Logan, congrats on your big day! Hope it's everything you","Sentiment: POSITIVE
Sentiment Score: 0.9965435862541199
Generated Response: The user said: 'Logan Paul it's yo big day ‼️‼️‼️'. Generate a friendly response.

Here are some options:

A.  ""Hey Logan, congrats on your big day! Hope it's everything you"
1,I've been following you from the start of your vine channel and have seen all 365 vlogs,POSITIVE,0.9951155185699463,False,False,Non-Offensive,0,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,False,Non-Offensive,"The user said: 'I've been following you from the start of your vine channel and have seen all 365 vlogs'. Generate a friendly response.

That's awesome! I'm so glad you've been","Sentiment: POSITIVE
Sentiment Score: 0.9951155185699463
Generated Response: The user said: 'I've been following you from the start of your vine channel and have seen all 365 vlogs'. Generate a friendly response.

That's awesome! I'm so glad you've been"
2,Say hi to Kong and maverick for me,POSITIVE,0.9992602467536926,False,False,Non-Offensive,0,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,False,Non-Offensive,"The user said: 'Say hi to Kong and maverick for me'. Generate a friendly response.

Hi there, Kong and Maverick! 👋  Hope you're both doing well.  Say hi back! 😊 
","Sentiment: POSITIVE
Sentiment Score: 0.9992602467536926
Generated Response: The user said: 'Say hi to Kong and maverick for me'. Generate a friendly response.

Hi there, Kong and Maverick! 👋  Hope you're both doing well.  Say hi back! 😊 
"
3,MY FAN . attendance,POSITIVE,0.999640703201294,False,False,Non-Offensive,0,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,False,Non-Offensive,"The user said: 'MY FAN . attendance'. Generate a friendly response.

Hey there! 👋  It sounds like you're checking on your fan's attendance.  

To help me out, could you tell me a little more","Sentiment: POSITIVE
Sentiment Score: 0.999640703201294
Generated Response: The user said: 'MY FAN . attendance'. Generate a friendly response.

Hey there! 👋  It sounds like you're checking on your fan's attendance.  

To help me out, could you tell me a little more"
4,trending 😉,POSITIVE,0.8867964744567871,False,False,Non-Offensive,0,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,False,Non-Offensive,"The user said: 'trending 😉'. Generate a friendly response.

Here are some options:

A.  ""What's trending? Tell me all about it!""
B.  ""Ooh, tell me what's hot!","Sentiment: POSITIVE
Sentiment Score: 0.8867964744567871
Generated Response: The user said: 'trending 😉'. Generate a friendly response.

Here are some options:

A.  ""What's trending? Tell me all about it!""
B.  ""Ooh, tell me what's hot!"
5,#1 on trending AYYEEEEE,POSITIVE,0.985436737537384,False,False,Non-Offensive,0,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,False,Non-Offensive,"The user said: '#1 on trending AYYEEEEE'. Generate a friendly response.

Here's what I'm thinking:

**Option 1:  Acknowledge and engage**

> ""Woah, that's awesome!","Sentiment: POSITIVE
Sentiment Score: 0.985436737537384
Generated Response: The user said: '#1 on trending AYYEEEEE'. Generate a friendly response.

Here's what I'm thinking:

**Option 1:  Acknowledge and engage**

> ""Woah, that's awesome!"
6,The end though 😭👍🏻❤️,NEGATIVE,0.9674882888793945,False,False,Non-Offensive,0,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,False,Non-Offensive,"The user said: 'The end though 😭👍🏻❤️'. Suggest a constructive response.

Here's why this response is problematic:

* **It's overly emotional and lacks context.**  ""The end though 😭👍🏻❤️"" could","Sentiment: NEGATIVE
Sentiment Score: 0.9674882888793945
Generated Response: The user said: 'The end though 😭👍🏻❤️'. Suggest a constructive response.

Here's why this response is problematic:

* **It's overly emotional and lacks context.**  ""The end though 😭👍🏻❤️"" could"
7,#1 trending!!!!!!!!!,POSITIVE,0.9973751306533813,False,False,Non-Offensive,0,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,False,Non-Offensive,"The user said: '#1 trending!!!!!!!!!'. Generate a friendly response.

Here are some options:

A.  ""Wow, congrats! 🎉  What's got everyone so excited?""
B.  ""That's awesome!","Sentiment: POSITIVE
Sentiment Score: 0.9973751306533813
Generated Response: The user said: '#1 trending!!!!!!!!!'. Generate a friendly response.

Here are some options:

A.  ""Wow, congrats! 🎉  What's got everyone so excited?""
B.  ""That's awesome!"
8,Happy one year vlogaversary,POSITIVE,0.9998142123222351,False,False,Non-Offensive,0,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,True,Mildly Offensive,"The user said: 'Happy one year vlogaversary'. Generate a friendly response.

Here's what I'd like to see:

* **Acknowledge the user's sentiment:**  I see you're celebrating a vloga","Sentiment: POSITIVE
Sentiment Score: 0.9998142123222351
Generated Response: The user said: 'Happy one year vlogaversary'. Generate a friendly response.

Here's what I'd like to see:

* **Acknowledge the user's sentiment:**  I see you're celebrating a vloga"
9,You and your shit brother may have single handedly ruined YouTube.....thanks...,NEGATIVE,0.9997660517692566,False,False,Mildly Offensive,1,Mildly Offensive,Mildly Offensive,Mildly Offensive,Mildly Offensive,Mildly Offensive,False,Mildly Offensive,"The user said: 'You and your shit brother may have single handedly ruined YouTube.....thanks...'. Suggest a constructive response.

This is a very aggressive and negative comment. Here's how I could respond:

**Option 1","Sentiment: NEGATIVE
Sentiment Score: 0.9997660517692566
Generated Response: The user said: 'You and your shit brother may have single handedly ruined YouTube.....thanks...'. Suggest a constructive response.

This is a very aggressive and negative comment. Here's how I could respond:

**Option 1"
10,There should be a mini Logan Paul too!,POSITIVE,0.9067782163619995,False,False,Non-Offensive,0,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,Non-Offensive,False,Non-Offensive,"The user said: 'There should be a mini Logan Paul too!'. Generate a friendly response.

Hey! I totally get that! Logan Paul is a huge personality in the world of YouTube, and it'd be awesome to have a","Sentiment: POSITIVE
Sentiment Score: 0.9067782163619995
Generated Response: The user said: 'There should be a mini Logan Paul too!'. Generate a friendly response.

Hey! I totally get that! Logan Paul is a huge personality in the world of YouTube, and it'd be awesome to have a"
